ticker,name,current_price,price_change,pct_change,scraped_at
CLMTY,CLMTY: Calamity Hustle,22.73,0.0,0.0,2026-03-03T12:19:38
CASHM,CASHM: California Schemin',1.2,0.01,1.0,2026-03-03T12:19:38
CIGAW,CIGAW: Can I Get a Witness,0.45,0.0,0.0,2026-03-03T12:19:38
CAEOD,CAEOD: Carnival: At the End of Days,11.0,0.02,-0.0,2026-03-03T12:19:38
CROLN,CROLN: Carolina Caroline,1.29,-0.02,-2.0,2026-03-03T12:19:38
CAROS,CAROS: Carousel,1.56,0.0,0.0,2026-03-03T12:19:38
CHARP,CHARP: Charlie Harper,4.68,-0.06,-1.0,2026-03-03T12:19:38
COBAB,COBAB: Children of Blood and Bone,17.0,0.04,-0.0,2026-03-03T12:19:38
IMCHP,IMCHP: Chippendales,0.04,-0.01,-20.0,2026-03-03T12:19:38
CCBB,CCBB: Chitty Chitty Bang Bang,19.35,0.0,0.0,2026-03-03T12:19:38
CHLO,CHLO: Chloe aka Untitled Jesse...,5.88,0.0,0.0,2026-03-03T12:19:38
CRSTN,CRSTN: Christine,15.35,0.0,0.0,2026-03-03T12:19:38
CTOFR,CTOFR: City on Fire,10.74,0.04,-0.0,2026-03-03T12:19:38
CLRIS,CLRIS: Clarissa,5.6,1.31,31.0,2026-03-03T12:19:38
CLAYF,CLAYF: Clayface,68.47,0.07,-0.0,2026-03-03T12:19:38
CEOPT,CEOPT: Cleopatra - Paramount,4.42,-0.03,-1.0,2026-03-03T12:19:38
CLEOP,CLEOP: Cleopatra - Sony,21.81,0.02,-0.0,2026-03-03T12:19:38
CLFHN,CLFHN: Cliffhanger,8.48,0.0,0.0,2026-03-03T12:19:38
CTBR2,CTBR2: Clifford the Big Red Dog 2,1.17,-0.02,-2.0,2026-03-03T12:19:38
CLIKA,CLIKA: Clika,4.04,-0.06,-1.0,2026-03-03T12:19:38
CLOV2,CLOV2: Cloverfield 2,13.27,0.0,0.0,2026-03-03T12:19:38
CLUE,CLUE: Clue,13.34,0.02,-0.0,2026-03-03T12:19:38
COMEL,COMEL: Cocomelon the Movie,56.98,0.04,0.0,2026-03-03T12:19:38
CLDP2,CLDP2: Cold Pursuit 2,0.61,0.0,0.0,2026-03-03T12:19:38
CLDST,CLDST: Cold Storage,1.98,-0.07,-3.0,2026-03-03T12:19:38
CNCPT,CNCPT: Conception,0.94,0.0,0.0,2026-03-03T12:19:38
CNST2,CNST2: Constantine 2,36.31,0.0,0.0,2026-03-03T12:19:38
COTRL,COTRL: Control,6.76,0.02,-0.0,2026-03-03T12:19:38
COLER,COLER: Cooler,1.86,0.0,0.0,2026-03-03T12:19:38
CRPRT,CRPRT: Corporate Retreat,4.67,0.01,-0.0,2026-03-03T12:19:38
STCHS,STCHS: Couture aka Stitches,2.13,0.0,0.0,2026-03-03T12:19:38
CVACM,CVACM: Coyote vs. ACME,35.52,0.1,-0.0,2026-03-03T12:19:38
CRAW2,CRAW2: Crawl 2,11.17,0.0,0.0,2026-03-03T12:19:38
CRAS2,CRAS2: Crazy Rich Asians 2:...,20.22,0.02,0.0,2026-03-03T12:19:38
CREE4,CREE4: Creed IV,31.02,0.06,-0.0,2026-03-03T12:19:38
CRIM1,CRIM1: Crime 101,33.37,0.38,1.0,2026-03-03T12:19:38
CACRM,CACRM: Crime After Crime,0.08,-0.01,-11.0,2026-03-03T12:19:38
CRUL2,CRUL2: Cruella 2,15.41,0.02,-0.0,2026-03-03T12:19:38
CRYTH,CRYTH: Cry to Heaven,14.17,0.02,-0.0,2026-03-03T12:19:38
CRYHM,CRYHM: Crying in H Mart,1.93,0.0,0.0,2026-03-03T12:19:38
TCOTC,TCOTC: Custom of the Country,13.16,0.0,0.0,2026-03-03T12:19:38
CUTOF,CUTOF: Cut Off,38.43,0.04,-0.0,2026-03-03T12:19:38
POLRS,POLRS: Dark Slides aka Polaris,0.07,0.0,0.0,2026-03-03T12:19:38
DRNKR,DRNKR: Day Drinker,11.36,0.05,-0.0,2026-03-03T12:19:38
DAYSG,DAYSG: Days Gone,5.92,0.01,-0.0,2026-03-03T12:19:38
DSTRN,DSTRN: Death Stranding,22.95,0.02,-0.0,2026-03-03T12:19:38
DPCUT,DPCUT: Deep Cuts,15.68,-0.23,-1.0,2026-03-03T12:19:38
DEEPW,DEEPW: Deep Water,4.39,0.01,-0.0,2026-03-03T12:19:38
DEPER,DEPER: Deeper,36.65,0.02,0.0,2026-03-03T12:19:38
DSIC2,DSIC2: Demon Slayer: Infinity...,96.75,0.0,0.0,2026-03-03T12:19:38
DSRTW,DSRTW: Desert Warrior,1.18,-0.03,-2.0,2026-03-03T12:19:38
DHUR2,DHUR2: Dhurandhar: The Revenge,15.03,0.0,0.0,2026-03-03T12:19:38
DIAMN,DIAMN: Diamond,7.57,-0.05,-1.0,2026-03-03T12:19:38
DIGER,DIGER: Digger aka Untitled...,117.2,0.47,-0.0,2026-03-03T12:19:38
DANC3,DANC3: Dirty Dancing sequel,20.7,0.02,0.0,2026-03-03T12:19:38
SKIES,SKIES: Disclosure Day,165.78,0.44,-0.0,2026-03-03T12:19:38
DIS10,DIS10: District 10,15.96,0.02,0.0,2026-03-03T12:19:38
CREPR,CREPR: Do Not Enter,1.38,-0.04,-3.0,2026-03-03T12:19:38
DOCK,DOCK: Dock,0.05,-0.01,-17.0,2026-03-03T12:19:38
DRST3,DRST3: Doctor Strange 3,90.63,0.33,-0.0,2026-03-03T12:19:38
DOGST,DOGST: Dog Stars,65.6,0.0,0.0,2026-03-03T12:19:38
DOGYS,DOGYS: Dog Years,1.24,-0.01,-1.0,2026-03-03T12:19:38
DOLLY,DOLLY: Dolly,1.94,-0.06,-3.0,2026-03-03T12:19:38
DRCUL,DRCUL: Dracula - Universal,8.11,0.01,-0.0,2026-03-03T12:19:38
DRMQL,DRMQL: Dreamquil,2.19,0.0,0.0,2026-03-03T12:19:38
DREMS,DREMS: Dreams,0.35,-0.04,-10.0,2026-03-03T12:19:38
DRVED,DRVED: Driver's Ed,8.12,-0.09,-1.0,2026-03-03T12:19:38
DUNE3,DUNE3: Dune: Part Three aka...,233.92,0.18,-0.0,2026-03-03T12:19:38
EWLTZ,EWLTZ: Easy's Waltz,5.9,0.03,1.0,2026-03-03T12:19:38
EBNZR,EBNZR: Ebenezer: A Christmas Carol,75.67,0.1,-0.0,2026-03-03T12:19:38
MUERT,MUERT: El Muerto,4.73,0.02,0.0,2026-03-03T12:19:38
ELDEN,ELDEN: Elden Ring,39.35,0.03,0.0,2026-03-03T12:19:38
11DAY,11DAY: Eleven Days,15.98,0.04,-0.0,2026-03-03T12:19:38
EMILY,EMILY: Emily the Strange,17.44,0.0,0.0,2026-03-03T12:19:38
EMPCT,EMPCT: Empire City,20.31,0.9,5.0,2026-03-03T12:19:38
ENMES,ENMES: Enemies,12.75,0.02,0.0,2026-03-03T12:19:38
EPICC,EPICC: EPiC: Elvis Presley in...,12.5,0.01,0.0,2026-03-03T12:19:38
EPHNY,EPHNY: Epiphany,4.46,0.0,0.0,2026-03-03T12:19:38
ERUPC,ERUPC: Erupcja,0.94,0.0,0.0,2026-03-03T12:19:38
ESCNY,ESCNY: Escape From New York,1.45,-0.01,-1.0,2026-03-03T12:19:38
ETRTN,ETRTN: Eternal Return,4.78,0.0,0.0,2026-03-03T12:19:38
EVKNV,EVKNV: Evel Knievel on Tour,22.51,0.01,-0.0,2026-03-03T12:19:38
SUMIT,SUMIT: Everest aka Mallory aka...,0.03,-0.01,-25.0,2026-03-03T12:19:38
EVNTP,EVNTP: Every Note Played,0.01,-0.03,-75.0,2026-03-03T12:19:38
EWTFM,EWTFM: Everyone Wants to F*ck Me,8.84,0.02,0.0,2026-03-03T12:19:38
EVLD6,EVLD6: Evil Dead Burn,45.86,0.05,-0.0,2026-03-03T12:19:38
EVLD7,EVLD7: Evil Dead Wrath,40.0,0.11,0.0,2026-03-03T12:19:38
EXIT8,EXIT8: Exit 8,1.95,0.08,4.0,2026-03-03T12:19:38
FAST,FAST: F.A.S.T.,42.51,0.0,0.0,2026-03-03T12:19:38
FBLHV,FBLHV: Fablehaven,16.22,0.06,0.0,2026-03-03T12:19:38
FCOF2,FCOF2: Face/Off 2,5.43,0.02,-0.0,2026-03-03T12:19:38
FACOD,FACOD: Faces of Death,9.47,0.09,1.0,2026-03-03T12:19:38
FALL2,FALL2: Fall 2,5.09,0.04,1.0,2026-03-03T12:19:38
FAMOS,FAMOS: Famous,11.46,0.02,-0.0,2026-03-03T12:19:38
FNTLF,FNTLF: Fantasy Life,0.28,0.0,0.0,2026-03-03T12:19:38
FFHS2,FFHS2: Fast & Furious Presents:...,18.05,0.06,0.0,2026-03-03T12:19:38
FAF11,FAF11: Fast Forever aka Fast &...,124.58,0.0,0.0,2026-03-03T12:19:38
FMSB,FMSB: Father Mother Sister Brother,1.12,0.01,1.0,2026-03-03T12:19:38
FAUZI,FAUZI: Fauzi,3.88,0.01,-0.0,2026-03-03T12:19:38
FTHRW,FTHRW: Featherwood,7.46,0.0,0.0,2026-03-03T12:19:38
FELWS,FELWS: Fellowship,16.11,0.02,0.0,2026-03-03T12:19:38
PEGLE,PEGLE: Fever,0.12,0.0,0.0,2026-03-03T12:19:38
FDES7,FDES7: Final Destination 7,56.58,0.0,0.0,2026-03-03T12:19:38
CCEML,CCEML: Finding Emily aka CC: Emily,5.42,0.03,1.0,2026-03-03T12:19:38
FING,FING: Fing!,3.1,-0.02,-1.0,2026-03-03T12:19:38
FWARR,FWARR: First Warrior,3.61,-0.03,-1.0,2026-03-03T12:19:38
FJORD,FJORD: Fjord,1.84,0.01,1.0,2026-03-03T12:19:38
FLSHG,FLSHG: Flash Gordon,0.54,0.02,4.0,2026-03-03T12:19:38
FNAVG,FNAVG: Flight of the Navigator,0.1,0.01,11.0,2026-03-03T12:19:38
FLWVS,FLWVS: Flowervale Street,50.95,0.1,0.0,2026-03-03T12:19:38
MPRN4,MPRN4: Focker In-Law aka Meet...,104.13,0.28,-0.0,2026-03-03T12:19:38
FWORS,FWORS: For Worse,1.0,0.0,0.0,2026-03-03T12:19:38
FRBDF,FRBDF: Forbidden Fruits,2.2,0.01,-0.0,2026-03-03T12:19:38
FRGIS,FRGIS: Forgotten Island,46.85,0.05,0.0,2026-03-03T12:19:38
FGODF,FGODF: Francis and the Godfather,0.08,0.0,0.0,2026-03-03T12:19:38
FREAG,FREAG: Free Agents,0.26,0.0,0.0,2026-03-03T12:19:38
FRIN2,FRIN2: Friday Night Lights,0.09,-0.02,-18.0,2026-03-03T12:19:38
FJWCN,FJWCN: From the World of John...,37.91,0.11,-0.0,2026-03-03T12:19:38
FROZ3,FROZ3: Frozen III,307.59,0.46,0.0,2026-03-03T12:19:38
FRUTC,FRUTC: Fruitcake,0.1,0.01,11.0,2026-03-03T12:19:38
FPHIL,FPHIL: Full Phil,3.55,-0.02,-1.0,2026-03-03T12:19:38
FUNYB,FUNYB: Funny Birds,0.02,-0.01,-33.0,2026-03-03T12:19:38
FUZE,FUZE: Fuze,13.8,0.11,1.0,2026-03-03T12:19:38
GIJO4,GIJO4: G.I. Joe sequel,18.38,0.03,0.0,2026-03-03T12:19:38
GDCSP,GDCSP: Gail Daughtry and the...,7.22,0.6,9.0,2026-03-03T12:19:38
GATTO,GATTO: Gatto,117.37,0.54,0.0,2026-03-03T12:19:38
GEARS,GEARS: Gears of War,0.03,-0.03,-50.0,2026-03-03T12:19:38
GCLNT,GCLNT: George Clinton biopic,18.51,0.01,0.0,2026-03-03T12:19:38
GETLT,GETLT: Get Lite,17.82,0.04,-0.0,2026-03-03T12:19:38
GOTSU,GOTSU: Ghost of Tsushima,12.33,0.0,0.0,2026-03-03T12:19:38
GBUST,GBUST: Ghostbusters animated,4.84,0.02,-0.0,2026-03-03T12:19:38
GIANT,GIANT: Giant,1.14,0.0,0.0,2026-03-03T12:19:38
GIRL,GIRL: Girl,0.14,0.0,0.0,2026-03-03T12:19:38
GRLGR,GRLGR: Girls Like Girls,6.64,0.0,0.0,2026-03-03T12:19:38
GRLT2,GRLT2: Girls Trip 2,15.31,0.0,0.0,2026-03-03T12:19:38
TGOAT,TGOAT: GOAT,85.69,-0.68,-1.0,2026-03-03T12:19:38
GDSCN,GDSCN: God's Country,0.99,0.0,0.0,2026-03-03T12:19:38
GODM2,GODM2: Godzilla Minus Zero,46.7,0.29,1.0,2026-03-03T12:19:38
GOKO3,GOKO3: Godzilla x Kong: Supernova,157.51,0.22,0.0,2026-03-03T12:19:38
ATLNT,ATLNT: Golden aka Atlantis,4.71,0.02,-0.0,2026-03-03T12:19:38
GONZG,GONZG: Gonzo Girl,0.1,0.0,0.0,2026-03-03T12:19:38
GLHFD,"GLHFD: Good Luck, Have Fun,...",8.19,0.15,2.0,2026-03-03T12:19:38
GRVTR,GRVTR: Gravity Rush,8.93,0.01,-0.0,2026-03-03T12:19:38
GHKTO,GHKTO: Green Hornet and Kato,8.58,0.02,-0.0,2026-03-03T12:19:38
GRENH,GRENH: Greenhouse aka The...,23.12,0.02,-0.0,2026-03-03T12:19:38
GREM3,GREM3: Gremlins 3,36.26,0.06,0.0,2026-03-03T12:19:38
GREND,GREND: Grendel,12.66,0.02,-0.0,2026-03-03T12:19:38
GUNDM,GUNDM: Gundam,13.74,0.04,-0.0,2026-03-03T12:19:38
GUYDL,GUYDL: Guys and Dolls,20.99,0.0,0.0,2026-03-03T12:19:38
HFHWK,HFHWK: H Is For Hawk,1.02,-0.02,-2.0,2026-03-03T12:19:38
HCSYB,"HCSYB: Ha-Chan, Shake Your Booty!",1.5,-0.01,-1.0,2026-03-03T12:19:38
HAMET,HAMET: Hamlet,2.05,0.01,-0.0,2026-03-03T12:19:38
HDTH3,HDTH3: Happy Death Day To Us,10.94,0.02,0.0,2026-03-03T12:19:38
HARBN,HARBN: Harbinger,0.01,0.0,0.0,2026-03-03T12:19:38
HARMO,HARMO: Harmonia,3.23,-0.03,-1.0,2026-03-03T12:19:38
HAKU4,HAKU4: Harold & Kumar 4,18.9,-0.17,-1.0,2026-03-03T12:19:38
HDHUN,HDHUN: Headhunters,9.95,0.01,-0.0,2026-03-03T12:19:38
HDOTL,HDOTL: Heads or Tails,1.12,-0.01,-1.0,2026-03-03T12:19:38
HOTBS,HOTBS: Heart of the Beast,24.35,-0.14,-1.0,2026-03-03T12:19:38
HEAT2,HEAT2: Heat 2,58.02,0.04,-0.0,2026-03-03T12:19:38
HEEL,HEEL: Heel,0.57,-0.02,-3.0,2026-03-03T12:19:38
HELNT,HELNT: Helen & Teacher,0.01,-0.01,-50.0,2026-03-03T12:19:38
HELDV,HELDV: Helldivers,86.88,2.35,3.0,2026-03-03T12:19:38
HLOKT,HLOKT: Hello Kitty,31.59,0.06,0.0,2026-03-03T12:19:38
HERPH,HERPH: Her Private Hell,6.48,0.01,-0.0,2026-03-03T12:19:38
HRCUL,HRCUL: Hercules aka Hades,19.43,0.02,0.0,2026-03-03T12:19:38
HCTFL,HCTFL: Here Comes the Flood,0.45,-0.01,-2.0,2026-03-03T12:19:38
HERSH,HERSH: Hershey,5.91,0.0,0.0,2026-03-03T12:19:38
HEXED,HEXED: Hexed,104.46,0.12,-0.0,2026-03-03T12:19:38
HEYBR,HEYBR: Hey Bear,5.84,0.1,2.0,2026-03-03T12:19:38
TUMIA,TUMIA: Hey Joe,0.01,0.0,0.0,2026-03-03T12:19:38
HINTC,HINTC: High in the Clouds,13.21,0.02,-0.0,2026-03-03T12:19:38
HISID,HISID: High Side,30.57,0.06,-0.0,2026-03-03T12:19:38
HIGHL,HIGHL: Highlander,37.84,0.03,0.0,2026-03-03T12:19:38
HOKUM,HOKUM: Hokum,8.32,0.02,0.0,2026-03-03T12:19:38
HOME1,HOME1: Home,11.65,0.0,0.0,2026-03-03T12:19:38
HWHRY,HWHRY: Honeymoon With Harry,12.83,0.62,5.0,2026-03-03T12:19:38
HOPE,HOPE: Hope,1.85,0.0,0.0,2026-03-03T12:19:38
HOPPR,HOPPR: Hoppers,149.0,1.11,1.0,2026-03-03T12:19:38
HRIZD,HRIZD: Horizon Zero Dawn,37.17,0.07,-0.0,2026-03-03T12:19:38
HORZ2,HORZ2: Horizon: An American Saga...,11.3,0.0,0.0,2026-03-03T12:19:38
HTSPT,HTSPT: Hot Spot,1.77,0.0,0.0,2026-03-03T12:19:38
HOTWH,HOTWH: Hot Wheels,22.18,0.02,-0.0,2026-03-03T12:19:38
HTHRN,HTHRN: Hotel Tehran,5.54,0.01,0.0,2026-03-03T12:19:38
HRMAN,HRMAN: Hourman,11.15,0.02,0.0,2026-03-03T12:19:38
HNGTN,HNGTN: How to Make a Killing,8.24,0.1,1.0,2026-03-03T12:19:38
HTRAB,HTRAB: How To Rob A Bank,48.64,0.01,0.0,2026-03-03T12:19:38
HTTY2,HTTY2: How to Train Your Dragon 2,184.46,0.0,0.0,2026-03-03T12:19:38
HUNMN,HUNMN: Hunting Matthew Nichols,3.18,-0.03,-1.0,2026-03-03T12:19:38
HCANA,HCANA: Hurricanna,0.16,0.0,0.0,2026-03-03T12:19:38
HYPHU,HYPHU: Hypno-Hustler,6.12,0.0,0.0,2026-03-03T12:19:38
LEGN2,LEGN2: I am Legend 2,31.54,0.06,0.0,2026-03-03T12:19:38
ICOI2,ICOI2: I Can Only Imagine 2,25.45,0.01,-0.0,2026-03-03T12:19:38
IHMUR,IHMUR: I Heart Murder,1.23,0.0,0.0,2026-03-03T12:19:38
ILBOS,ILBOS: I Love Boosters,10.03,-0.17,-2.0,2026-03-03T12:19:38
